id,category,name,status,result,severity,evidence,notes
WSTG-APIT-01,API Testing,Testing GraphQL,not-started,,,,
WSTG-ATHN-01,Authentication,Testing for Credentials Transported over an Encrypted Channel,not-started,,,,
WSTG-ATHN-02,Authentication,Testing for Default Credentials,not-started,,,,
WSTG-ATHN-03,Authentication,Testing for Weak Lock Out Mechanism,not-started,,,,
WSTG-ATHN-04,Authentication,Testing for Bypassing Authentication Schema,not-started,,,,
WSTG-ATHN-05,Authentication,Testing for Vulnerable Remember Password,not-started,,,,
WSTG-ATHN-06,Authentication,Testing for Browser Cache Weaknesses,not-started,,,,
WSTG-ATHN-07,Authentication,Testing for Weak Password Policy,not-started,,,,
WSTG-ATHN-08,Authentication,Testing for Weak Security Question Answer,not-started,,,,
WSTG-ATHN-09,Authentication,Testing for Weak Password Change or Reset Functionalities,not-started,,,,
WSTG-ATHN-10,Authentication,Testing for Weaker Authentication in Alternative Channel,not-started,,,,
WSTG-ATHZ-01,Authorization,Testing Directory Traversal File Include,not-started,,,,
WSTG-ATHZ-02,Authorization,Testing for Bypassing Authorization Schema,not-started,,,,
WSTG-ATHZ-03,Authorization,Testing for Privilege Escalation,not-started,,,,
WSTG-ATHZ-04,Authorization,Testing for Insecure Direct Object References,not-started,,,,
WSTG-BUSL-01,Business Logic,Test Business Logic Data Validation,not-started,,,,
WSTG-BUSL-02,Business Logic,Test Ability to Forge Requests,not-started,,,,
WSTG-BUSL-03,Business Logic,Test Integrity Checks,not-started,,,,
WSTG-BUSL-04,Business Logic,Test for Process Timing,not-started,,,,
WSTG-BUSL-05,Business Logic,Test Number of Times a Function Can Be Used Limits,not-started,,,,
WSTG-BUSL-06,Business Logic,Testing for the Circumvention of Work Flows,not-started,,,,
WSTG-BUSL-07,Business Logic,Test Defenses Against Application Misuse,not-started,,,,
WSTG-BUSL-08,Business Logic,Test Upload of Unexpected File Types,not-started,,,,
WSTG-BUSL-09,Business Logic,Test Upload of Malicious Files,not-started,,,,
WSTG-CLNT-01,Client-side,Testing for DOM-Based Cross Site Scripting,not-started,,,,
WSTG-CLNT-02,Client-side,Testing for JavaScript Execution,not-started,,,,
WSTG-CLNT-03,Client-side,Testing for HTML Injection,not-started,,,,
WSTG-CLNT-04,Client-side,Testing for Client-side URL Redirect,not-started,,,,
WSTG-CLNT-05,Client-side,Testing for CSS Injection,not-started,,,,
WSTG-CLNT-06,Client-side,Testing for Client-side Resource Manipulation,not-started,,,,
WSTG-CLNT-07,Client-side,Testing Cross Origin Resource Sharing,not-started,,,,
WSTG-CLNT-08,Client-side,Testing for Cross Site Flashing,not-started,,,,
WSTG-CLNT-09,Client-side,Testing for Clickjacking,not-started,,,,
WSTG-CLNT-10,Client-side,Testing WebSockets,not-started,,,,
WSTG-CLNT-11,Client-side,Testing Web Messaging,not-started,,,,
WSTG-CLNT-12,Client-side,Testing Browser Storage,not-started,,,,
WSTG-CLNT-13,Client-side,Testing for Cross Site Script Inclusion,not-started,,,,
WSTG-CONF-01,Configuration & Deployment Mgmt,Test Network Infrastructure Configuration,not-started,,,,
WSTG-CONF-02,Configuration & Deployment Mgmt,Test Application Platform Configuration,not-started,,,,
WSTG-CONF-03,Configuration & Deployment Mgmt,Test File Extensions Handling for Sensitive Information,not-started,,,,
WSTG-CONF-04,Configuration & Deployment Mgmt,Review Old Backup and Unreferenced Files for Sensitive Information,not-started,,,,
WSTG-CONF-05,Configuration & Deployment Mgmt,Enumerate Infrastructure and Application Admin Interfaces,not-started,,,,
WSTG-CONF-06,Configuration & Deployment Mgmt,Test HTTP Methods,not-started,,,,
WSTG-CONF-07,Configuration & Deployment Mgmt,Test HTTP Strict Transport Security,not-started,,,,
WSTG-CONF-08,Configuration & Deployment Mgmt,Test RIA Cross Domain Policy,not-started,,,,
WSTG-CONF-09,Configuration & Deployment Mgmt,Test File Permission,not-started,,,,
WSTG-CONF-10,Configuration & Deployment Mgmt,Test for Subdomain Takeover,not-started,,,,
